avg group,time,load
20,543,0
20,549,0
20,552,0
20,555,0
20,558,0
20,561,0
20,564,0
20,567,1
20,570,1
20,573,2
20,576,2
20,579,3
20,582,4
20,585,4
20,588,3
20,591,2
20,594,2
20,597,1
20,600,1
20,603,1
20,606,1
20,609,0
20,612,0
20,615,0
20,618,0
20,621,0
20,624,0
20,627,0
20,636,0
20,642,0
20,648,0
20,651,0
20,654,1
20,657,1
20,660,1
20,663,1
20,666,1
20,669,2
20,672,2
20,675,3
20,678,3
20,681,3
20,684,4
20,687,5
20,690,5
20,693,5
20,696,5
20,699,5
20,702,4
20,705,3
20,708,3
20,711,3
20,714,3
20,717,2
20,720,2
20,723,2
20,726,1
20,729,1
20,732,1
20,735,1
20,738,1
20,741,0
20,744,0
20,747,0
20,750,0
20,753,0
20,756,0
20,759,0
20,762,0
20,765,0
20,768,1
20,771,1
20,774,1
20,777,1
20,780,2
20,783,2
20,786,3
20,789,4
20,792,4
20,795,5
20,798,5
20,801,5
20,804,5
20,807,5
20,810,5
20,813,5
20,816,5
20,819,5
20,822,5
20,825,4
20,828,4
20,831,4
20,834,3
20,837,3
20,840,3
20,843,3
20,846,3
20,849,2
20,852,2
20,855,2
20,858,2
20,861,2
20,864,1
20,867,1
20,870,0
20,873,1
20,876,1
20,879,1
20,882,1
20,885,1
20,888,1
20,891,1
20,894,1
20,897,1
20,900,2
20,903,2
20,906,2
20,909,2
20,912,3
20,915,3
20,918,4
20,921,4
20,924,5
20,927,5
20,930,5
20,933,5
20,936,4
20,939,4
20,942,3
20,945,3
20,948,3
20,951,2
20,954,2
20,957,2
20,960,2
20,963,2
20,966,2
20,969,1
20,972,1
20,975,1
20,978,1
20,981,1
20,984,1
20,987,1
20,990,1
20,993,1
20,996,1
20,999,1
20,1002,1
20,1005,1
20,1008,1
20,1011,1
20,1014,1
20,1017,1
20,1020,2
20,1023,2
20,1026,3
20,1029,3
20,1032,3
20,1035,2
20,1038,2
20,1041,2
20,1044,2
20,1047,1
20,1050,1
20,1053,1
20,1056,1
20,1059,1
20,1062,1
20,1065,1
20,1068,1
20,1071,1
20,1074,0
20,1077,0
20,1080,0
20,1083,0
20,1086,0
20,1089,0
20,1092,0
20,1095,0
20,1098,0
20,1101,0
20,1104,1
20,1107,1
20,1110,2
20,1113,2
20,1116,2
20,1119,2
20,1122,1
20,1125,1
20,1128,1
20,1131,0
20,1134,0
20,1137,0
20,1140,0
20,1143,0
20,1146,0
20,1149,0
20,1152,0
20,1155,0
20,1158,0
20,1164,0
20,1167,0
20,1173,0
20,1176,0
22,543,0
22,546,0
22,552,0
22,555,0
22,558,1
22,561,1
22,564,1
22,567,1
22,570,2
22,573,2
22,576,3
22,579,3
22,582,4
22,585,4
22,588,4
22,591,4
22,594,3
22,597,2
22,600,2
22,603,1
22,606,1
22,609,1
22,612,1
22,615,1
22,618,0
22,621,0
22,624,0
22,627,0
22,630,0
22,633,0
22,636,0
22,639,1
22,642,1
22,645,1
22,648,1
22,651,1
22,654,2
