avg group,time,load
35,540,0
35,543,0
35,546,0
35,549,0
35,552,0
35,555,0
35,558,0
35,561,0
35,564,0
35,567,0
35,570,0
35,573,1
35,576,1
35,579,1
35,582,1
35,585,1
35,588,1
35,591,1
35,594,0
35,597,0
35,600,0
35,603,0
35,606,0
35,609,0
35,612,0
35,615,0
35,618,0
35,621,0
35,624,0
35,627,0
35,630,0
35,633,0
35,636,0
35,639,0
35,642,0
35,645,0
35,648,0
35,651,0
35,654,1
35,657,1
35,660,1
35,663,1
35,666,1
35,669,2
35,672,2
35,675,2
35,678,3
35,681,3
35,684,3
35,687,4
35,690,4
35,693,4
35,696,4
35,699,3
35,702,3
35,705,3
35,708,3
35,711,2
35,714,2
35,717,2
35,720,2
35,723,1
35,726,1
35,729,1
35,732,1
35,735,1
35,738,1
35,741,1
35,744,1
35,747,1
35,750,1
35,753,1
35,756,1
35,759,1
35,762,2
35,765,2
35,768,2
35,771,3
35,774,3
35,777,3
35,780,4
35,783,4
35,786,4
35,789,4
35,792,4
35,795,5
35,798,5
35,801,5
35,804,5
35,807,5
35,810,5
35,813,5
35,816,5
35,819,5
35,822,5
35,825,4
35,828,4
35,831,4
35,834,4
35,837,4
35,840,3
35,843,3
35,846,2
35,849,2
35,852,2
35,855,2
35,858,1
35,861,1
35,864,1
35,867,1
35,870,1
35,873,1
35,876,1
35,879,2
35,882,2
35,885,2
35,888,2
35,891,2
35,894,2
35,897,2
35,900,2
35,903,3
35,906,3
35,909,4
35,912,4
35,915,4
35,918,4
35,921,4
35,924,4
35,927,4
35,930,4
35,933,4
35,936,4
35,939,3
35,942,2
35,945,2
35,948,2
35,951,2
35,954,2
35,957,1
35,960,1
35,963,1
35,966,1
35,969,1
35,972,1
35,975,1
35,978,1
35,981,1
35,984,1
35,987,1
35,990,1
35,993,1
35,996,1
35,999,1
35,1002,1
35,1005,1
35,1008,2
35,1011,2
35,1014,2
35,1017,2
35,1020,2
35,1023,2
35,1026,2
35,1029,2
35,1032,2
35,1035,2
35,1038,2
35,1041,2
35,1044,2
35,1047,2
35,1050,1
35,1053,1
35,1056,1
35,1059,1
35,1062,0
35,1065,0
35,1068,0
35,1071,0
35,1074,0
35,1077,0
35,1080,0
35,1083,0
35,1086,0
35,1089,0
35,1092,0
35,1095,0
35,1098,0
35,1101,0
35,1104,0
35,1107,0
35,1110,1
35,1113,1
35,1116,1
35,1119,1
35,1122,1
35,1125,1
35,1128,2
35,1131,2
35,1134,2
35,1137,2
35,1140,2
35,1143,2
35,1146,1
35,1149,1
35,1152,1
35,1155,1
35,1158,1
35,1161,1
35,1164,1
35,1167,1
35,1170,1
35,1173,1
35,1176,1
35,1179,1
35,1182,1
35,1185,1
35,1188,1
35,1191,1
35,1194,1
35,1197,1
35,1200,0
35,1203,0
35,1206,0
35,1209,0
35,1212,0
35,1215,0
35,1218,0
35,1221,0
35,1224,0
35,1227,0
35,1230,0
35,1233,0
35,1236,0
35,1239,0
35,1242,0
35,1245,0
35,1248,0
35,1251,0
35,1254,0
35,1257,0
35,1260,0
48,540,0
48,543,0
48,546,0
48,549,0
48,552,0
48,555,0
48,558,0
48,561,0
48,564,0
48,567,0
48,570,1
48,573,1
48,576,2
48,579,2
48,582,2
48,585,2
48,588,2
48,591,1
48,594,1
48,597,0
48,600,0
48,603,0
48,606,0
48,609,0
48,612,0
48,615,0
48,618,0
48,621,0
48,624,0
48,627,0
48,630,0
